OBJECTID_1,OBJECTID,LANDUSE_DE,Land Use,LOADDATE,CreationDa,Creator,EditDate,Editor,Shape__Are,Shape__Len,Shape__Area,Shape__Length
20,136,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,379383.818817,2546.064438,"35,227.08",775.83
21,137,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,1117797.867912,5775.968638,"103,792.30","1,760.05"
22,138,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,875676.414589,3797.819902,"81,310.24","1,157.27"
23,139,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,68525964.519188,55789.452824,"6,344,373.47","16,931.08"
24,140,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,4854136.286018,16104.721638,"416,451.51","5,545.17"
25,141,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,26904101.189499,36379.614333,"1,613,522.25","8,416.99"
26,144,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,2039923911.599850,1389493.539663,"64,958,201.60","118,827.71"
27,150,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,3494081522.924060,1396383.264275,"12,813,265.63","76,159.19"
28,152,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,10257699.031731,14183.393983,"952,474.14","4,321.97"
29,160,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,11079958.530922,14552.517105,"1,028,828.35","4,434.46"
30,162,3,Agriculture,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,469690.645111,3034.104661,"43,614.73",924.57
31,169,1,Urban,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,900792853.311401,415167.649125,"23,049,486.82","42,924.95"
32,173,4,Conservation,"9/30/2021, 2:00 PM","8/31/2023, 2:00 PM",holisgis,"8/31/2023, 2:00 PM",holisgis,17104364.455612,36428.388705,"645,217.46","7,748.95"
