geoid20,tractname,HA_Conservation,HA_Urban,HA_Agriculture,HA_Unclassified,PCT_Conservation,PCT_Urban,PCT_Agriculture,PCT_Unclassified
15003007809,Newtown,100.33278254875529,96.72022511647118,0.284350607749253,0,50.843278943202584,49.012628376537535,0.144093654139804,0
15003007812,Newtown Neighborhood Park,0,79.3918217069666,0,0,0,100.00000000008438,0,0
15003007813,Waiau Elementary School,0,56.76886389545571,0,0,0,99.99999999990682,0,0
15003007814,Nahele Neighborhood Park,38.29175463008809,102.53624660915804,0,0,27.189413019147608,72.80680620205774,0,0
15003007815,Pearl City High School,24.687099425328817,99.40944033007999,0,0,19.89346414560764,80.10654078349782,0,0
15003007816,Kaonohi Street,64.4626134933667,171.01735246436385,0,0,27.374989068587503,72.62501317500073,0,0
15003007817,Pono Street,7.795872760932395,68.9652153840719,5.116656545135102,0,9.521357474371928,84.22950054539726,6.249142018319636,0
15003008001,Hale Mohalu Hospital,0,117.08770697489248,0.881176298776716,0,0,98.42034694262719,0.740689857918401,0
15003008002,Lower Waiau,0,134.10301308902777,0,0,0,99.99999999993133,0,0
15003008005,Pacific Palisades,0,21.78078029670785,0,0,0,100.00000867910181,0,0
15003008008,Manana Housing,0,52.48700180459836,0,0,0,99.99999999996501,0,0
15003008009,Pearl Highlands Center,0,102.01544872101643,4.247235865636824,0,0,96.00307867601956,3.996921290611772,0
15003008010,Waimano Home Rd Hoomoana St,0,55.297363168637986,0,0,0,100.00000000001164,0,0
15003008011,Manana Elementary School,0,151.46724435958384,3.912701729934808,0,0,97.48184838925764,2.518151026266806,0
15003008012,Pearl City Highlands Elementary School,0,85.8830495242004,0,0,0,99.99999999988411,0,0
15003008013,Waimano Home Road-Komo Mai Drive,0,75.42341401881458,0,0,0,100.00000000000236,0,0
15003008301,Iroquois Point,4.31966891268781,1120.9757729098028,458.7158648259466,0,0.271591869998975,70.4794539909969,28.84098342823153,0
15003008302,Campbell High School,0,156.4686632544624,5.2552045736565844,0,0,96.75050713469345,3.249492243510519,0
15003008405,Holomua School,0,101.59745539753905,13.90105705227194,0,0,87.9642986916082,12.035702369616192,0
15003008410,Coral Creek Golf Course,0,36.66567202868964,1.254928302561359,0,0,96.6906225890275,3.309357013402209,0
15003008411,Geiger Road,0,83.41694292562356,2.425110471011847,0,0,97.17491275706088,2.825084331571955,0
15003008413,Puuloa Neighborhood Park,0,17.797926583874915,0.329810438516101,0,0,98.18062174675265,1.819368888813002,0
15003008414,Keanui Drive-Hoomahana Street,0,50.449797699703446,116.63093036746426,0,0,30.194862984647663,69.80513545722835,0
15003008415,Hoalauna Community Park,0,60.66955207314204,3.691177816860669,0,0,94.26486018120403,5.735139768146848,0
15003008416,Kolowaka Drive-Koka Street,0,27.824553803321237,0,0,0,99.99999999953145,0,0
15003008417,Kolowaka Drive-Fort Weaver Road,0,42.000994448831726,1.295317214533029,0,0,97.00825013603,2.991749552644721,0
15003008418,Ewa Beach Park,0.082812268269852,45.303657099892725,0,0,0.172826048194599,94.54700600427853,0,0
15003008623,UH West Oahu,0,40.63940136060531,6.743557654904945,0,0,85.76796388886258,14.232030740221893,0
15003008624,Fort Weaver Road-Aawa Drive,0,60.47621771712873,39.39078705445679,0,0,60.556755007523485,39.44324448938966,0
15003008625,Fort Weaver Road-Renton Road,0,64.01634148116563,13.68426713220224,0,0,82.3884680094099,17.6115313491535,0
15003008626,Ewa Villages Golf Course,0,168.5934611584744,1.411976223690921,0,0,99.1694508437163,0.830547672167383,0
15003008627,Honouliuli National Historic Site,0,846.7482317236287,381.26989859420695,0,0,68.95241841627785,31.047577771594625,0
15003008702,St. Joseph School,0.08771309409593,115.11288352426915,0.385101357812964,0,0.075885767621451,99.59094043363773,0.333173882997884,0
15003008704,Waipahu High School,0,176.79894165336884,33.89601865882132,0,0,83.91227840562358,16.087721611579166,0
15003008705,Waipahu Intermediate School,0.858556222185032,47.514667042405954,0,0,1.390669961151846,76.96318361287805,0,0
15003008706,Kapapapuhi Point Park,0.212330583727843,97.68431619919747,29.95887804676664,0,0.16238875130581,74.70819253283798,22.912313012680364,0
15003008707,Waipahu District Park,0,88.23201030098593,0,0,0,99.99999999997213,0,0
15003008801,Paiwa Street-Hiapo Street,0,43.087706462652726,0,0,0,100.00000000026034,0,0
15003008802,Waipahu Uka Neighborhood Park,0,117.64852486691899,0,0,0,99.99999999997951,0,0
15003008912,August Ahrens School,0,53.56913274742102,0,0,0,99.99999999989491,0,0
15003008913,Robinson Heights,0,86.04761364155885,2.426760792688747,0,0,97.257103116083,2.74289680636309,0
15003008921,Waipio,0,56.75601562237018,38.64662418317335,0,0,59.49103270711107,40.508967341858344,0
15003008931,Waiawa Prison,0,143.21058708441967,89.60136505048375,0,0,61.5134190436798,38.48658417961171,0
15003008933,Kealohi Neighborhood Park,0,0,1.161024119595614,0,0,0,100.00005224101743,0
15003008934,Royal Kunia Golf Course,0,132.52615108212774,37.11164792613388,0,0,78.1230083365636,21.8769922512898,0
15003008935,Kupuohi Neighborhood Park,0,73.32575120762863,1.196026500547697,0,0,98.39506427925161,1.604935543965291,0
15003008936,Kaleiopuu Elementary School,0,84.81956872179107,1.038301820190415,0,0,98.7906738191947,1.209326314553105,0
15003008937,Farrington Highway-Leoku Street,0,23.890450030602512,3.228983778950425,0,0,88.09346986251411,11.906531055427855,0
15003008938,Pacific Supermarket,0,32.98192451882449,0,0,0,99.99999999999562,0,0
15003008946,Waipio Uka Street-Mohalu Street,0,37.021029687041974,4.916975885628603,0,0,88.27560873091267,11.724391328072876,0
15003008948,Kanoelani Elementary School,0,49.46933160625102,0.651536816848112,0,0,98.7000714186042,1.299931255724362,0
15003008949,Waikele Country Club,0,78.38831046682282,0,0,0,99.99999999992885,0,0
15003008950,Kunia Neighborhood Park,0,43.727204637459856,0.916353884535533,0,0,97.94739964571802,2.052600455246523,0
15003008951,Kupuna Loop-Kaaka Street,0,31.29789147540527,0,0,0,100.00000000020113,0,0
15003008952,Patsy T. Mink Central Oahu Regional Park,0,196.54660548812575,116.4921709656133,0,0,62.78666450013252,37.21333592684164,0
15003011401,Lehua Community Park,0,201.88261671163136,0,0,0,93.6632627408348,0,0
15003980200,Honolulu International Airport,0,59.1336081984743,0,0,0,99.99999099898274,0,0
15003981400,Nimitz-Airport Commercial,0,32.410499096034606,0,0,0,100.0000089723752,0,0
15003981900,Malama Bay Golf Course,0,487.22946657087414,0,0,0,99.43443443550454,0,0
15003982200,Waipio Peninsula,44.677967880969135,111.17523992077845,680.1913939474654,0,5.038251831673902,12.537026251058252,76.70392587180278,0
