Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,...23,Start Year,End Year
TEQ Dioxins,Dioxins,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,"615,100 ng/kg","HDOH EAL: 240 ng/kg; C/I: 1,500 ng/kg",Shallow Soil (0-3 ft.),Not specified,Not specified,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",25,Mapping based on Sugar Mill location,158.0466004°W 21.3524718°N,NA,1890,1995
Arsenic,Metals,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,90 mg/kg,HDOH EAL: 2.4 mg/kg,Shallow Soil (0-3 ft.),Not specified,Not specified,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",26,NA,158.0466004°W 21.3524718°N,NA,1890,1995
Ametryn,Pesticides,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,141 mg/kg,HDOH EAL: 110 mg/kg; C/I: 130 mg/kg,Shallow Soil (0-3 ft.),Not specified,Not specified,"Both acute and chronic toxicity are anticipated to be low. Cancer risk only observed at doses exceeding the maximum tolerated level in oncogenicity studies. Low acute toxicity through dermal, oral, and inhalation routes (Toxicity Category III for oral/dermal, Category IV inhalation). Skin and eye irritation.",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",27,NA,158.0466004°W 21.3524718°N,NA,1890,1995
Atrazine,Pesticides,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,16.5 mg/kg,HDOH EAL: 2.3 mg/kg; C/I: 8.7 mg/kg,Shallow Soil (0-3 ft.),Not specified,Not specified,"Exposure to atrazine can cause skin and eye irritation and respiratory issues. Long-term exposure has been associated with endocrine disruption, reproductive problems, and potential links to breast and prostate cancer.",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",28,NA,158.0466004°W 21.3524718°N,NA,1890,1995
Simazine,Pesticides,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,4.31 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Shallow Soil (0-3 ft.),Not specified,Not specified,"Acute exposure is associated with skin and eye irritation, weight loss, and changes in the blood.
Chronic exposures at at high levels may cause tremors; damage to testes, kidneys, liver and thyroid; gene mutations. May have the potential to cause cancer from lifetime high exposure",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",29,NA,158.0466004°W 21.3524718°N,NA,1890,1995
Pentachlorophenol (PCP),Legacy Pesticides,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,99.4 mg/kg,HDOH EAL: 0.98 mg/kg; C/I: 1.3 mg/kg,Shallow Soil (0-3 ft.),Not specified,Not specified,"Exposure can lead to skin and eye irritation, respiratory issues, and liver and kidney damage. Chronic exposure is associated with immune system suppression, and endocrine disruption. PCP is classified as a probable human carcinogen, with links to cancers such as non-Hodgkin lymphoma.",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",30,NA,158.0466004°W 21.3524718°N,NA,1890,1995
Tetrachlorophenol (TCP),Legacy Pesticides,Fallowed Agricultural Land (DHHL),Oʻahu Sugar Company Pesticide Mixing and Loading Area,Agriculture,0,1890-1995,Historic,Honouliuli,89 mg/kg,HDOH EAL: 0.51 mgʻkg,Shallow Soil (0-3 ft.),Not specified,Not specified,"""Central nervous system effects, including lethargy, tremors, convulsions, and/or central nervous
system depression, have been observed in humans exposed""",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",31,NA,158.0466004°W 21.3524718°N,NA,1890,1995
Arsenic,Metals,Waiawa Ridge,Former Sugarcane field,Agriculture,0,1890-1995,Historic,Waiawa,80 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (depth not specified),Waiawa Stream,NA,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Not specified,21°25’28.2”N and 157°58’46.9”W . Currently used as Waiawa Solar,2011,"(HDOH, 2011) Summary of Pesticide and Dioxin Contamination Associated with Former Sugarcane Operations.pdf",32,Mapping on the ridge,157.9796991°W 21.4246133°N,NA,1890,1995
Arsenic,Metals,Waiawa Ridge,Former Sugarcane field,Agriculture,0,1890-1995,Historic,Waiawa,6.8 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (depth not specified),Waiawa Stream,NA,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Not specified,21°25’28.2”N and 157°58’46.9”W . Currently used as Waiawa Solar,2011,"(HDOH, 2011) Summary of Pesticide and Dioxin Contamination Associated with Former Sugarcane Operations.pdf",33,NA,157.9796991°W 21.4246133°N,NA,1890,1995
"1,2-Dibromo- 3-Chloropropane (DBCP)",Legacy Pesticides,Del Monte Corporation,"Pineapple fields, pesticide mixing and storage",Agriculture,0,1977,Historic,Waikele,0.27 µg/L,SDW: 0.04 µg/L,Groundwater,"Kunia Well, Waikele Stream","Access to this area is restricted. The spill area slopes north before dropping ~30 feet to the former soil fumigant mixing area. A gulch drains pineapple fields to the west, eventually discharging into Poliwai Gulch and Waikele Stream","Exposure to DBCP can have serious health effects, including reproductive toxicity and male infertility due to damaging effects on the testes. Long-term exposure linked to an increased risk of cancers such as stomach and liver cancer. Short-term exposure can cause skin and eye irritation, as well as respiratory issues",No complete exposure route to untreated perched or basal aquifer groundwater. Institutional controls included in the deed restrictions to prevent exposure until groundwater meets MCLs,P.8 Location,2020,"(USEPA/Army, 2020) 3rd 5yr report for Del Monte Corp.pdf",36,"Site Location
Street Address:
94-1000 KUNIA RD
KUNIA, HI 96759",158.0528504°W 21.4216166°N,NA,1977,Unknown
"1,2-Dichloropropane (1,2-DCP)",Legacy Pesticides,Del Monte Corporation,"Pineapple fields, pesticide mixing and storage",Agriculture,0,1977,Historic,Waikele,0.96 µg/L,SDW: 0.6 µg/L,Groundwater,"Kunia Well, Waikele Stream","Access to this area is restricted. The spill area slopes north before dropping ~30 feet to the former soil fumigant mixing area. A gulch drains pineapple fields to the west, eventually discharging into Poliwai Gulch and Waikele Stream","Short-term exposure may lead to irritation of the skin, eyes, and respiratory tract, along with headaches, dizziness, and nausea. Long-term exposure has been linked to liver and kidney damage, as well as potential carcinogenic effects, with studies suggesting an increased risk of bile duct cancer.",No complete exposure route to untreated perched or basal aquifer groundwater. institutional controls included in the deed restrictions to prevent exposure until groundwater meets MCLs,P.8 Location,2020,"(USEPA/Army, 2020) 3rd 5yr report for Del Monte Corp.pdf",37,NA,158.0528504°W 21.4216166°N,NA,1977,Unknown
Heptachlor,Legacy Pesticides,Kunia Pineapple Fields,"Commercial cow milk (fed contaminated ""green-chop"")",Agriculture,0,1981-1982,Historic,Waikele,Cow milk: 1.2 µg/g Human Breast milk: < 400 ppm,FDA Cow milk: 0.1 ppm,Other,-,-,"Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors",All mothers who were exposed to the contaminated milk supply and their children who breastfed,NA,1997,"(Allen et al, 1997) breast-cancer-and-pesticides-in-hawaii-the-need-for-further-study.pdf",39,Randomly pick one point of Kunia pineapple plantation,158.0446862°W 21.4090350°N,NA,1981,1982
Silver,Metals,Pearl Harbor Waters,Unknown,Unclassified,0,Unknown,Unknown,NA,<0.3 ppm (µg/L),HDOH SWAL: 0.1 µg/L,Water,-,-,"Prolonged exposure to silver can lead to health effects like argyria, respiratory and gastrointestinal irritation. Chronic exposure may also lead to liver and kidney damage. Silver is not classified as a human carcinogen, and its toxic effects are relatively rare compared to other heavy metals.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",40,NA,157.9701986°W 21.3520218°N,NA,Unknown,Unknown
Arsenic,Metals,Pearl Harbor Waters,Unknown,Unclassified,0,Unknown,Unknown,NA,<1.0 ppm,HDOH SWAL: 0.14 µg/L,Water,-,-,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",41,NA,157.9701986°W 21.3520218°N,NA,Unknown,Unknown
Cadmium,Metals,Pearl Harbor Waters,Unknown,Unclassified,0,Unknown,Unknown,NA,<3.24 ppm,HDOH SWAL: 3 µg/L,Water,-,-,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",42,NA,157.9701986°W 21.3520218°N,NA,Unknown,Unknown
Copper,Metals,Pearl Harbor Waters,Unknown,Unclassified,0,Unknown,Unknown,NA,<2.96 ppm,HDOH SWAL: 2.9 µg/L,Water,-,-,"Excessive exposure to copper can have harmful effects on health such as gastrointestinal symptoms and long-term damage to the liver, kidneys, and neurological system. This is particularly serious for individuals with genetic conditions like Wilson's disease, which impairs the body's ability to regulate copper levels.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",44,NA,157.9701986°W 21.3520218°N,NA,Unknown,Unknown
Mercury,Metals,Pearl Harbor Waters,Unknown,Unclassified,0,Unknown,Unknown,NA,<1.0 ppm,HDOH SWAL: 0.025 µg/L,Water,-,-,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",45,NA,157.9701986°W 21.3520218°N,NA,Unknown,Unknown
Nickel,Metals,Pearl Harbor Waters,Unknown,Unclassified,0,Unknown,Unknown,NA,< 53.4 ppm,HDOH SWAL: 5.0 µg/L,Water,-,-,"Nickel is a naturally occurring element. Short-term exposure can cause skin irritation and allergic reactions, known as nickel dermatitis. Long-term exposure, especially through inhalation, can lead to respiratory problems such as asthma and bronchitis. It is classified as a human carcinogen, with increased risks of lung and nasal cancers. Nickel can also cause liver and kidney damage with chronic exposure.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",46,NA,157.9701986°W 21.3520218°N,NA,Unknown,Unknown
Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),South Channel/SE Loch,Unknown,Unclassified,0,Unknown,Unknown,NA,510.73 µg/kg,HDOH SWAL: 0.000079 µg/L,Sediment,-,-,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,NA,48,NA,157.9451459°W 21.3526146°N,NA,Unknown,Unknown
Copper,Metals,Southeast Loch,Unknown,Unclassified,0,Unknown,Unknown,NA,"4,090 mg/kg",EPA PRG: 214 mg/kg,Sediment,-,-,"Excessive exposure to copper can have harmful effects on health such as gastrointestinal symptoms and long-term damage to the liver, kidneys, and neurological system. This is particularly serious for individuals with genetic conditions like Wilson's disease, which impairs the body's ability to regulate copper levels.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",50,Picked a point in SE Loch on the map,157.9496480°W 21.3550024°N,NA,Unknown,Unknown
Lead,Metals,Southeast Loch,Unknown,Unclassified,0,Unknown,Unknown,NA,"1,830 mg/kg",EPA PRG: 119 mg/kg,Sediment,-,-,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",51,NA,157.9496480°W 21.3550024°N,NA,Unknown,Unknown
Mercury,Metals,Southeast Loch,Unknown,Unclassified,0,Unknown,Unknown,NA,20.7 mg/kh,EPA PRG: 0.71 mg/kg,Sediment,-,-,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",52,NA,157.9496480°W 21.3550024°N,NA,Unknown,Unknown
Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),Southeast Loch,Unknown,Unclassified,0,Unknown,Unknown,NA,"82,000 µg/kg",EPA PRG: 170 µg/kg,Sediment,-,-,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,NA,53,NA,157.9496480°W 21.3550024°N,NA,Unknown,Unknown
Cadmium,Metals,Oscar 1 and 2 Pier Shoreline*,Unknown,Unclassified,0,Unknown,Unknown,NA,21.5 mg/kg,EPA PRG: 0.71 mg/kg,Sediment,-,-,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",54,DU N-2 Oscar 1 and 2 Piers Shoreline,157.9674610°W 21.3466286°N,NA,Unknown,Unknown
Copper,Metals,Oscar 1 and 2 Pier Shoreline*,Unknown,Unclassified,0,Unknown,Unknown,NA,792 mg/kg,EPA PRG: 214 mg/kg,Sediment,-,-,"Excessive exposure to copper can have harmful effects on health such as gastrointestinal symptoms and long-term damage to the liver, kidneys, and neurological system. This is particularly serious for individuals with genetic conditions like Wilson's disease, which impairs the body's ability to regulate copper levels.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",55,NA,157.9674610°W 21.3466286°N,NA,Unknown,Unknown
Lead,Metals,Oscar 1 and 2 Pier Shoreline*,Unknown,Unclassified,0,Unknown,Unknown,NA,302 mg/kg,EPA PRG: 119 mg/kg,Sediment,-,-,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",56,NA,157.9674610°W 21.3466286°N,NA,Unknown,Unknown
Mercury,Metals,Oscar 1 and 2 Pier Shoreline*,Unknown,Unclassified,0,Unknown,Unknown,NA,4.6 mg/kg,EPA PRG: 0.71 mg/kg,Sediment,-,-,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",57,NA,157.9674610°W 21.3466286°N,NA,Unknown,Unknown
Zinc,Metals,Oscar 1 and 2 Pier Shoreline*,Unknown,Unclassified,0,Unknown,Unknown,NA,805 mg/kg,EPA PRG: 330 mg/kg,Sediment,-,-,"Short-term exposure to high levels of antimony can cause acute symptoms such as respiratory irritation, nausea, vomiting, and diarrhea. Chronic exposure to lower levels of antimony can lead to more serious health effects, including lung disease, cardiovascular problems, and liver damage. Some forms of antimony, especially antimony trioxide, are considered potential human carcinogens","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",58,NA,157.9674610°W 21.3466286°N,NA,Unknown,Unknown
