OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
11,26,Arsenic (total),Heavy Metal,Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1995,Historic,Honouliuli,90 mg/kg,HDOH EAL: 2.4 mg/kg,Surface Soil,Not specified,Not specified,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",26,,158.0466004°W 21.3524718°N,,-17593667.997,2433911.767
12,27,Ametryn,"Organochlorine, Pesticide",Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1996,Historic,Honouliuli,141 mg/kg,HDOH EAL: 110 mg/kg; C/I: 130 mg/kg,Surface Soil,Not specified,Not specified,"Both acute and chronic toxicity are anticipated to be low. Cancer risk only observed at doses exceeding the maximum tolerated level in oncogenicity studies. Low acute toxicity through dermal, oral, and inhalation routes (Toxicity Category III for oral/dermal, Category IV inhalation). Skin and eye irritation. ",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",27,,158.0466004°W 21.3524718°N,,-17593660.604,2433927.478
13,28,Atrazine,"Triazine, Herbicide",Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1997,Historic,Honouliuli,16.5 mg/kg,HDOH EAL: 2.3 mg/kg; C/I: 8.7 mg/kg,Surface Soil,Not specified,Not specified,"Exposure to atrazine can cause skin and eye irritation and respiratory issues. Long-term exposure has been associated with endocrine disruption, reproductive problems, and potential links to breast and prostate cancer. ", Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",28,,158.0466004°W 21.3524718°N,,-17593637.5,2433925.63
14,29,Simazine,"Triazine, Herbicide",Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1998,Historic,Honouliuli,4.31 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Surface Soil,Not specified,Not specified,"Acute exposure is associated with skin and eye irritation, weight loss, and changes in the blood. Chronic exposures at at high levels may cause tremors; damage to testes, kidneys, liver and thyroid; gene mutations. May have the potential to cause cancer from lifetime high exposure",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",29,,158.0466004°W 21.3524718°N,,-17593645.818,2433941.34
15,30,Pentachlorophenol (PCP),"Organochlorine, pesticide",Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1999,Historic,Honouliuli,99.4 mg/kg,HDOH EAL: 0.98 mg/kg; C/I: 1.3 mg/kg,Surface Soil,Not specified,Not specified,"Exposure can lead to skin and eye irritation, respiratory issues, and liver and kidney damage. Chronic exposure is associated with immune system suppression, and endocrine disruption. PCP is classified as a probable human carcinogen, with links to cancers such as non-Hodgkin lymphoma.",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",30,,158.0466004°W 21.3524718°N,,-17593667.073,2433957.051
16,31,Tetrachlorophenol,"Organochlorine, pesticide",Fallowed Agricultural Land (DHHL),Fallowed Agricultural Land (DHHL),Agriculture,1890-1999,Historic,Honouliuli,89 mg/kg,HDOH EAL: 0.51 mgʻkg,Surface Soil,Not specified,Not specified,"""Central nervous system effects, including lethargy, tremors, convulsions, and/or central nervous system depression, have been observed in humans exposed""",Construction workers through incidental ingestion/inhalation of soil,P.66 Location data,2010,"(DHHL, 2010) EHA/SI: East Kapolei II Pesticide Mixing and Loading Site .pdf",31,,158.0466004°W 21.3524718°N,,-17593680.011,2433945.961
17,32,Arsenic (total),Heavy Metal,Waiawa Ridge,Waiawa Ridge,Agriculture,Not Specified,Historic,Waiawa,80 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (surface and subsurface),Waiawa Stream,,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Not specified,21°25’28.2”N and 157°58’46.9”W . Currently used as Waiawa Solar ,2011,"(HDOH, 2011) Summary of Pesticide and Dioxin Contamination Associated with Former Sugarcane Operations.pdf",32,Mapping on the ridge,157.9796991°W 21.4246133°N,,-17586219.664,2442581.808
18,33,Bioaccessible arsenic:,Heavy Metal,Waiawa Ridge,Waiawa Ridge,Agriculture,Not Specified,Historic,Waiawa,6.8 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (surface and subsurface),Waiawa Stream,,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Not specified,21°25’28.2”N and 157°58’46.9”W . Currently used as Waiawa Solar ,2011,"(HDOH, 2011) Summary of Pesticide and Dioxin Contamination Associated with Former Sugarcane Operations.pdf",33,,157.9796991°W 21.4246133°N,,-17586268.05,2442574.445
19,36,"1,2-dibromo- 3-chloropropane (DBCP)","Halogenated organic compound, fumigant",Del Monte Corporation,Del Monte Corporation,Agriculture,"April, 1977",Historic,Waikele,0.27 µg/L,SDW: 0.04 µg/L,Groundwater (Kunia Well),"Kunia Well, Waikele Stream","Access to this area is restricted. The spill area slopes north before dropping ~30 feet to the former soil fumigant mixing area. A gulch drains pineapple fields to the west, eventually discharging into Poliwai Gulch and Waikele Stream","Exposure to DBCP can have serious health effects, including reproductive toxicity and male infertility due to damaging effects on the testes. Long-term exposure linked to an increased risk of cancers such as stomach and liver cancer. Short-term exposure can cause skin and eye irritation, as well as respiratory issues",No complete exposure route to untreated perched or basal aquifer groundwater. Institutional controls included in the deed restrictions to prevent exposure until groundwater meets MCLs,P.8 Location,2020,"(USEPA/Army, 2020) 3rd 5yr report for Del Monte Corp.pdf",36,"Site Location Street Address: 94-1000 KUNIA RD KUNIA, HI 96759",158.0528504°W 21.4216166°N,,-17594397.68,2442233.847
20,37,"1,2-dichloropropane (1,2-DCP)",chlorinated aromatic pollutant,Del Monte Corporation,Del Monte Corporation,Agriculture,"April, 1977",Historic,Waikele,0.96 µg/L,SDW: 0.6 µg/L,Groundwater (Kunia Well),"Kunia Well, Waikele Stream","Access to this area is restricted. The spill area slopes north before dropping ~30 feet to the former soil fumigant mixing area. A gulch drains pineapple fields to the west, eventually discharging into Poliwai Gulch and Waikele Stream","Short-term exposure may lead to irritation of the skin, eyes, and respiratory tract, along with headaches, dizziness, and nausea. Long-term exposure has been linked to liver and kidney damage, as well as potential carcinogenic effects, with studies suggesting an increased risk of bile duct cancer.",No complete exposure route to untreated perched or basal aquifer groundwater. institutional controls included in the deed restrictions to prevent exposure until groundwater meets MCLs,P.8 Location,2020,"(USEPA/Army, 2020) 3rd 5yr report for Del Monte Corp.pdf",37,,158.0528504°W 21.4216166°N,,-17594362.826,2442223.457
21,39,Heptachlor,Cyclodiene pesticides ,Kunia Pineapple Fields,Kunia Pineapple Fields,Agriculture,1981-1982,Historic,Waikele,Cow milk: 1.2 µg/g Human Breast milk: < 400 ppm,FDA Cow milk: 0.1 ppm ,Human Breast Milk,-,-,"Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors",All mothers who were exposed to the contaminated milk supply and their children who breastfed,,1997,"(Allen et al, 1997) breast-cancer-and-pesticides-in-hawaii-the-need-for-further-study.pdf",39,Randomly pick one point of Kunia pineapple plantation,158.0446862°W 21.4090350°N,,-17593453.986,2440719.008
22,40,Silver (Ag),Heavy Metal,Pearl Harbor Waters ,Pearl Harbor Waters ,Unsure,Unsure,Unsure,Unsure,<0.3 ppm (µg/L),HDOH SWAL: 0.1 µg/L,Water sample (Middle/East loch),-,- ,"Prolonged exposure to silver can lead to health effects like argyria, respiratory and gastrointestinal irritation. Chronic exposure may also lead to liver and kidney damage. Silver is not classified as a human carcinogen, and its toxic effects are relatively rare compared to other heavy metals.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",40,,157.9701986°W 21.3520218°N ,,-17585170.946,2433919.126
23,41,Arsenic,Heavy Metal,Pearl Harbor Waters ,Pearl Harbor Waters ,Unsure,Unsure,Unsure,Unsure,<1.0 ppm,HDOH SWAL: 0.14 µg/L,Water sample (Middle/East loch),-,- ,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",41,,157.9701986°W 21.3520218°N ,,-17584860.02,2433950.473
24,42,Cd (cadmium),Heavy Metal,Pearl Harbor Waters ,Pearl Harbor Waters ,Unsure,Unsure,Unsure,Unsure,<3.24 ppm,HDOH SWAL: 3 µg/L,Water sample (Middle/East loch),-,- ,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",42,,157.9701986°W 21.3520218°N ,,-17585188.344,2434442.959
25,44,Copper,Heavy Metal,Pearl Harbor Waters ,Pearl Harbor Waters ,Unsure,Unsure,Unsure,Unsure,<2.96 ppm,HDOH SWAL: 2.9 µg/L,Water sample (Middle/East loch),-,- ,"Excessive exposure to copper can have harmful effects on health such as gastrointestinal symptoms and long-term damage to the liver, kidneys, and neurological system. This is particularly serious for individuals with genetic conditions like Wilson's disease, which impairs the body's ability to regulate copper levels.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",44,,157.9701986°W 21.3520218°N ,,-17585139.12,2433845.984
26,45,Mercury,Heavy Metal,Pearl Harbor Waters ,Pearl Harbor Waters ,Unsure,Unsure,Unsure,Unsure,<1.0 ppm,HDOH SWAL: 0.025 µg/L,Water sample (Middle/East loch),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",45,,157.9701986°W 21.3520218°N ,,-17585148.802,2434059.13
27,46,Nickel (Ni),Heavy Metal,Pearl Harbor Waters ,Pearl Harbor Waters ,Unsure,Unsure,Unsure,Unsure,< 53.4 ppm,HDOH SWAL: 5.0 µg/L,Water sample (Middle/East loch),-,- ,"Nickel is a naturally occurring element. Short-term exposure can cause skin irritation and allergic reactions, known as nickel dermatitis. Long-term exposure, especially through inhalation, can lead to respiratory problems such as asthma and bronchitis. It is classified as a human carcinogen, with increased risks of lung and nasal cancers. Nickel can also cause liver and kidney damage with chronic exposure.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,"(Grovhoug, 1992) Pearl Harbor Sediment Contamination.pdf",46,,157.9701986°W 21.3520218°N ,,-17585117.694,2433692.27
28,48,Polychlorinated Biphenyls (PCBs),Chlorinated Hydrocarbon,South Channel/SE Loch,South Channel/SE Loch,Unsure,Unsure,Unsure,Unsure,510.73 µg/kg,HDOH SWAL: 0.000079 µg/L,"Avg of sediment samples (S. Channel, SE Loch)",-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area","Sampling location: Grouvhog, 1992 p. 26",1992,,48,,157.9451459°W 21.3526146°N ,,-17582411.37,2433997.768
29,50,Copper,Heavy Metal,Southeast Loch,Southeast Loch,Unsure,Unsure,Unsure,Unsure,"4,090 mg/kg",EPA PRG: 214 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Excessive exposure to copper can have harmful effects on health such as gastrointestinal symptoms and long-term damage to the liver, kidneys, and neurological system. This is particularly serious for individuals with genetic conditions like Wilson's disease, which impairs the body's ability to regulate copper levels.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",50,Picked a point in SE Loch on the map,157.9496480°W 21.3550024°N ,,-17582843.392,2434290.79
30,51,Lead,Heavy Metal,Southeast Loch,Southeast Loch,Unsure,Unsure,Unsure,Unsure,"1,830 mg/kg",EPA PRG: 119 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",51,,157.9496480°W 21.3550024°N ,,-17582708.91,2434102.516
31,52,Mercury,Heavy Metal,Southeast Loch,Southeast Loch,Unsure,Unsure,Unsure,Unsure,20.7 mg/kh,EPA PRG: 0.71 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",52,,157.9496480°W 21.3550024°N ,,-17582714.677,2434289.306
32,53,Polychlorinated Biphenyls (PCBs),Chlorinated Hydrocarbon,Southeast Loch,Southeast Loch,Unsure,Unsure,Unsure,Unsure,"82,000 µg/kg",EPA PRG: 170 µg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,,53,,157.9496480°W 21.3550024°N ,,-17582648.577,2434206.68
33,54,Cadmium,Heavy Metal,Oscar 1 and 2 Pier Shoreline*,Oscar 1 and 2 Pier Shoreline*,Unsure,Unsure,Unsure,Unsure,21.5 mg/kg,EPA PRG: 0.71 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",54,DU N-2 Oscar 1 and 2 Piers Shoreline,157.9674610°W 21.3466286°N,,-17584887.511,2433268.731
34,55,Copper,Heavy Metal,Oscar 1 and 2 Pier Shoreline*,Oscar 1 and 2 Pier Shoreline*,Unsure,Unsure,Unsure,Unsure,792 mg/kg,EPA PRG: 214 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Excessive exposure to copper can have harmful effects on health such as gastrointestinal symptoms and long-term damage to the liver, kidneys, and neurological system. This is particularly serious for individuals with genetic conditions like Wilson's disease, which impairs the body's ability to regulate copper levels.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",55,,157.9674610°W 21.3466286°N,,-17584872.111,2433259.595
35,56,Lead,Heavy Metal,Oscar 1 and 2 Pier Shoreline*,Oscar 1 and 2 Pier Shoreline*,Unsure,Unsure,Unsure,Unsure,302 mg/kg,EPA PRG: 119 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",56,,157.9674610°W 21.3466286°N,,-17584857.325,2433258.671
36,57,Mercury,Heavy Metal,Oscar 1 and 2 Pier Shoreline*,Oscar 1 and 2 Pier Shoreline*,Unsure,Unsure,Unsure,Unsure,4.6 mg/kg,EPA PRG: 0.71 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",57,,157.9674610°W 21.3466286°N,,-17584848.083,2433242.96
